name,city,country,latitude,longitude
Brick Brewing,Formosa,Canada,0,0
Bricktown Brewery,Dubuque,United States,42.4965,-90.6652
BridgePort Brewing,Portland,United States,45.5311,-122.685
Brimstone Brewing,Frederick,United States,39.3628,-77.4265
Bristol Brewing,Colorado Springs,United States,38.8097,-104.826
Broad Ripple Brewing,Indianapolis,United States,39.8735,-86.1427
Brooklyn Brewery,Brooklyn,United States,40.7215,-73.9575
Broughton Ales,The Borders,United Kingdom,55.6145,-3.4107
Brouwerij 't IJ,Amsterdam,Netherlands,52.3666,4.9263
Brouwerij Abdij der Trappisten van Westmalle,Westmalle,Belgium,51.2974,4.6881
Brouwerij Abdij Saint Sixtus,Westvleteren,Belgium,50.8961,2.7222
Brouwerij Alken-Maes,Jumet,Belgium,50.4431,4.4147
Brouwerij Artois,Leuven,Belgium,50.8853,4.7008
Brouwerij Bavik - De Brabandere,Bavikhove,Belgium,50.8628,3.2992
Brouwerij Bockor,Bellegem,Belgium,50.7767,3.2785
Brouwerij Boon,Lembeek,Belgium,50.7123,4.2197
Brouwerij Bosteels,Buggenhout,Belgium,51.0138,4.2018
Brouwerij De Achelse Kluis,Achel,Belgium,51.2986,5.4896
Brouwerij De Block,Merchtem-Peizegem,Belgium,50.985,4.2226
Brouwerij De Dolle Brouwers,Esen,Belgium,51.0281,2.9038
Brouwerij de Gouden Boom,Brugge,Belgium,51.2094,3.2252
Brouwerij De Keersmaeker,Kobbegem,Belgium,50.9098,4.2505
DC Brau,Washington,United States,0,0
Brouwerij De Landtsheer,Buggenhout,Belgium,51.0228,4.1572
Brouwerij De Ranke,Wevelgem,Belgium,50.8105,3.1857
Brouwerij De Regenboog,Assebroek,Belgium,51.1968,3.2527
Brouwerij De Smedt,Opwijk,Belgium,50.971,4.191
Brouwerij der Sint-Benedictusabdij de Achelse Kluis,Achel,Belgium,51.2515,5.546
Brouwerij Duvel Moortgat,Breendonk,Belgium,51.0442,4.3257
Brouwerij Duysters,Diest,Belgium,50.9882,5.0554
Brouwerij Girardin,Sint-Ulriks-Kapelle,Belgium,0,0
Brouwerij Het Anker,Mechelen,Belgium,51.0325,4.473
Brouwerij Huyghe,Melle,Belgium,0,0
Brouwerij Kerkom,Kerkom,Belgium,50.7763,5.166
Brouwerij Liefmans,Oudenaarde,Belgium,50.8439,3.617
Brouwerij Lindemans,Vlezenbeek,Belgium,50.818,4.2307
Brouwerij Nacional Balashi,,Aruba,0,0
Brouwerij Oud Beersel,Beersel,Belgium,50.7586,4.3012
Brouwerij Rodenbach,Roeselare,Belgium,50.9462,3.1362
Brouwerij Roman,Oudenaarde,Belgium,50.831,3.6759
Brouwerij Sint-Jozef,Opitter,Belgium,51.1168,5.6464
Brouwerij Slaghmuylder,Ninove,Belgium,50.8417,4.0213
Brouwerij St-Feuillien,Le Roeulx,Belgium,50.5018,4.1086
Brouwerij St. Bernardus,Watou,Belgium,50.8425,2.6362
Brouwerij Sterkens,Hoogstraten-Meer,Belgium,51.4439,4.7386
Brouwerij Strubbe,Ichtegem,Belgium,51.0923,3.01
Brouwerij The Musketiers,Ursel,Belgium,51.1287,3.4785
Brouwerij Van Den Bossche,Sint-Lievens-Esse,Belgium,50.8564,3.8845
Brouwerij Van Eecke,Watou,Belgium,50.8612,2.6615
Brouwerij van Hoegaarden,Hoegaarden,Belgium,50.7778,4.8877
Brouwerij Van Honsebrouck,Ingelmunster,Belgium,50.9201,3.2579
Brouwerij Van Steenberge,Ertvelde,Belgium,51.1766,3.7462
Brouwerij Verhaeghe,Vichte,Belgium,50.8322,3.3884
Browar NamysÅ‚Ã³w Sp. z o.o.,NamysÅ‚Ã³w,Poland,0,0
Browar Okocim,Brzesko,Poland,49.9622,20.6003
Browar Warka,Warka,Poland,0,0
Browar Zywiec,Zywiec,Poland,49.6622,19.1742
Brown Street Brewery,Rhinelander,United States,45.638,-89.4127
Brownings,Louisville,United States,38.2554,-85.7441
Bryggeriet lfabrikken,Tisvildeleje,Denmark,56.0746,12.1161
